Sr No.,Question,Option A,Option B,Option C,Option D,Correct Answer
1,"1. ∀ a, b ∈ R, ab ∈ R. This property is known as: (1 point)",a. Commutative law of multiplication,b. Associative law of multiplication,c. Closure law of multiplication,d. Multiplicative identity,c. Closure law of multiplication
2,"2. If the straight lines x = 1 + s, y = -3 - λs, z = 1 + λs and x = t/2, y = 1 + t, z = 2 - t are co-planar, then λ equals: (1 point)",a. -2,b. -1,c. -1/2,d. 0,a. -2
3,3. The intersection of the spheres x² + y² + z² + 7x - 2y - z = 13 and x² + y² + z² - 3x + 3y + 4z = 8 is the same as the intersection of one of the spheres and the plane: (1 point),a. x - y - z = 1,b. x - 2y - z = 1,c. x - y - 2z = 1,d. 2x - y - z = 1,d. 2x - y - z = 1
4,"4. Let a, b, and c be three non-zero vectors such that no two of these are collinear. If the vector a + 2b is collinear with c, and b + 3c is collinear with a, then a + 2b + 6c is equal to: (1 point)",a. πa,b. πb,1,d. 0,d. 0
5,"5. A particle is acted upon by constant forces F₁ = 4i + j - 3k and F₂ = 3i + j - k, which displace it from the point A (i + 2j + 3k) to the point B (5i + 4j + k). The work done by the forces in standard units is: (1 point)",a. 40,b. 30,c. 25,d. 15,a. 40
6,"6. If a, b, c are non-coplanar vectors and λ is a real number, then the vectors a + 2b + 3c, λb + 4c, and (2λ - 1)c are non-coplanar for: (1 point)",a. All values of λ,b. All except one value of λ,c. All except two values of λ,d. No value of λ,c. All except two values of λ
7,"7. Let u, v, w be vectors such that |u| = 1, |v| = 2, |w| = 3. If the projection of v along u is equal to the projection of w along u, and v is perpendicular to w, then |u - v - w| equals: (1 point)",a. 2,b. √7,c. √14,d. 14,c. √14
8,"8. If z₁ and z₂ are two complex numbers, then |z₁ + z₂|: (1 point)",a. < |z₁| + |z₂|,b. > |z₁| + |z₂|,c. ≤ |z₁| + |z₂|,d. ≥ |z₁| + |z₂|,c. ≤ |z₁| + |z₂|
9,"9. Consider the following statements:
i. Mode can be computed from a histogram.
ii. Median is not independent of a change of scale.
iii. Variance is independent of change of origin and scale.
Which of these statements is/are correct? (1 point)",a. Only i,b. Only ii,c. Only i and ii,"d. Only i, ii, iii",c. Only i and ii
10,"10. In a series of 2n observations, half of them equal 'a' and the remaining half equal '-a'. If the standard deviation of the observations is 2, then |a| equals: (1 point)",a. 1/n,b. √2,c. 2,d. √2/n,c. 2
11,"11. The probability that A speaks truth is 4/5, while this probability for B is 3/4. The probability that they contradict each other when asked to speak on a fact is: (1 point)",a. 3/20,b. 1/5,c. 7/20,d. 4/5,c. 7/20
12,12. Division is a binary operation in: (1 point),a. The set of rational numbers,b. The set of real numbers,c. The set of real numbers,d. The set R - {0},d. The set R - {0}
13,"13. If z = (1, 2) then z⁻¹ = ?: (1 point)","a. (1/5, 2/5)","b. (-1/5, 2/5)","c. (1/5, -2/5)","d. (-1/5, -2/5)","c. (1/5, -2/5)"
14,"14. With two forces acting at a point, the max effect is obtained when their resultant is 4 N. If they act at right angles then their resultant is 3 N then the forces are: (1 point)",a. (2 + √2/2) N and (2 - √2/2) N,b. (2 + √3) N and (2 - √3) N,c. (2 + 1/2 √2) N and (2 - 1/2 √2) N,d. (2 + 1/2 √3) N and (2 - 1/2 √3) N,a. (2 + √2/2) N and (2 - √2/2) N
15,"15. In right angle ΔABC, ∠A = 90°, and sides a, b, c are respectively 5 cm, 4 cm, and 3 cm. If a force F has moments 0, 9, and 16 in N cm units respectively about vertices A, B, and C, then the magnitude of F is: (1 point)",a.3,b. 4,c. 5,d. 9,c. 5
16,"16. Three forces P, Q, R acting along IA, IB, and IC where I is the incenter of a ΔABC, are in equilibrium. Then P : Q : R is: (1 point)",a. cos(A/2) : cos(B/2) : cos(C/2),b. sin(A/2) : sin(B/2) : sin(C/2),c. sec(A/2) : sec(B/2) : sec(C/2),d. cosec(A/2) : cosec(B/2) : cosec(C/2),a. cos(A/2) : cos(B/2) : cos(C/2)
17,"17. A person moves towards the east from a point A to a point B at the rate of 4 km/h and then towards the north from B to C at the rate of 5 km/h. If AB = 12 km and BC = 5 km, then their average speed for the journey from A to C and the magnitude of the resultant average velocity directly from A to C are respectively: (1 point)",a. 17/4 km/h and 13/4 km/h,b. 13/4 km/h and 17/4 km/h,c. 17/9 km/h and 13/9 km/h,d. 13/9 km/h and 17/9 km/h,a. 17/4 km/h and 13/4 km/h
18,18. A velocity of 1/4 m/s is resolved into two components along OA and OB making angles 30° and 45° respectively with the given velocity. Then the component along OB is: (1 point),a. 1/8 m/s,b. 1/4(√3 - 1) m/s,c. 1/4 m/s,d. 1/8(√6 - √2) m/s,d. 1/8(√6 - √2) m/s
19,"19. If t₁ and t₂ are the times of flight of two particles having the same initial velocity u and range R on the horizontal, then t₁ + t₂ is equal to: (1 point)",a. U²/g,b. 4U²/g,c. U²/2g,d. 2U sinθ / g + 2U sin(90-θ) / g = 2U/g (sinθ + cosθ),d. 2U sinθ / g + 2U sin(90-θ) / g = 2U/g (sinθ + cosθ)
20,20. The differential equation of the family of the curves x² + y² - 2ax = 0 is: (1 point),a. x² - y² - 2xyy' = 0,b. y² - x² = 2xyy',c. x² + y² + 2yy' = 0,d. None,b. y² - x² = 2xyy'
21,"21. If Y = cos⁻¹((1 - ln(x)) / (1 + ln(x))), then dy/dx at x = e is: (1 point)",a. -1/e,b. -1/(2e),c. 1/(2e),d. 1/e,c. 1/(2e)
22,22. The sum of the series 1/2 + 3/4 + 7/8 + 15/16 + ... up to n terms is: (1 point),a. n - 1 + 1/(2ⁿ),b. n + 1/(2ⁿ),c. 2ⁿ + 1/(2ⁿ),d. n + 1 + 1/(2ⁿ),a. n - 1 + 1/(2ⁿ)
23,"23. The equation of the plane passing through the midpoint of the line joining the points (1, 2, 3) and (3, 4, 5) and perpendicular to it is: (1 point)",a. x + y + z = 9,b. x + y + z = -9,c. 2x + 3y + 4z = 9,d. 2x + 3y + 4z = -9,a. x + y + z = 9
24,24. The equation of the circle concentric to the circle 2x² + 2y² – 3x + 6y + 2 = 0 and having area double the area of this circle is: (1 point),a. 8x² + 8y² - 24x + 48y - 13 = 0,b. 16x² + 16y² + 24x - 48y - 13 = 0,c. 16x² + 16y² - 24x + 48y - 13 = 0,d. 8x² + 8y² + 24x - 48y - 13 = 0,c. 16x² + 16y² - 24x + 48y - 13 = 0
25,25. The domain of the function f(x) = cos⁻¹(x) / |x| is: (1 point),"a. [-1, 0) ∪ {1}","b. [-1, 1]","c. [-1, 1)",d. None,"a. [-1, 0) ∪ {1}"
26,"26. If e and e' are the eccentricities of the hyperbolas x²/a² - y²/b² = 1 and its conjugate hyperbola, then the value of 1/e² + 1/e'² is: (1 point)",a. 0,b. 1,c. 2,d. None,b. 1
27,27. The value of the ∫ (sin x + cos x) / (3 + sin 2x) dx is: (1 point),a. 1/4 ln |(2 - sin x - cos x) / (2 + sin x + cos x)| + C,b. 1/2 ln |(2 + sin x) / (2 - sin x)| + C,c. 1/4 ln |(1 + sin x) / (1 - sin x)| + C,d. None,a. 1/4 ln |(2 - sin x - cos x) / (2 + sin x + cos x)| + C
28,28. The solution of the differential equation dy/dx - (tan y) / x = (tan y sin y) / x² is: (1 point),a. x / sin y + ln |x| = c,b. y / sin x + ln |x| = c,c. ln |y| + x = c,d. ln |x| + y = c,a. x / sin y + ln |x| = c
29,29. Z + Z̄ is: (1 point),a. Real number,b. Irrational number,c. 0,d. Complex number,a. Real number
